no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,2,2,0,0,3,55,2018,6,18,4,0,0.0,0.0,126.9,1,1
2,2,0,1,0,0,5,3,2018,6,11,4,0,0.0,0.0,160.8,0,1
2,1,2,0,0,0,0,26,2018,5,22,4,0,0.0,0.0,148.0,2,1
2,0,0,1,0,0,3,25,2018,4,30,4,0,0.0,0.0,156.0,2,1
2,0,0,2,0,0,3,45,2018,3,17,4,0,0.0,0.0,103.95,1,0
2,0,0,5,0,0,0,33,2018,2,23,4,0,0.0,0.0,80.46,1,1
2,0,0,2,0,0,0,30,2018,10,21,4,0,0.0,0.0,139.0,4,1
3,0,1,2,0,0,6,36,2018,4,15,4,0,0.0,0.0,203.02,2,1
2,0,1,0,0,0,0,0,2017,9,7,4,0,0.0,0.0,133.0,0,1
2,0,0,3,0,0,0,72,2018,10,20,4,0,0.0,0.0,118.8,2,1
2,0,0,2,0,0,0,92,2018,2,9,4,0,0.0,0.0,69.5,1,1
2,0,0,4,0,0,0,19,2017,12,22,3,0,0.0,0.0,58.0,1,1
1,0,2,2,0,0,0,11,2018,11,27,4,0,0.0,0.0,89.89,2,1
2,0,0,2,0,0,0,0,2018,9,16,3,0,0.0,0.0,95.0,0,1
1,0,2,0,0,1,0,2,2018,7,3,2,1,0.0,1.791759469228055,67.0,0,1
3,0,2,2,0,0,3,99,2018,7,3,4,0,0.0,0.0,146.7,0,0
2,1,0,3,0,0,3,126,2018,12,27,3,0,0.0,0.0,90.53,2,1
2,0,2,1,0,0,0,21,2018,6,12,4,0,0.0,0.0,94.35,1,1
2,0,2,3,0,0,3,64,2018,4,15,4,0,0.0,0.0,112.2,0,1
2,0,2,5,1,0,3,42,2018,3,12,4,0,0.0,0.0,127.79,1,1
1,0,0,1,0,1,0,3,2018,3,3,4,0,0.0,0.0,104.0,0,1
2,0,0,2,0,0,0,29,2018,12,2,2,0,0.0,0.0,85.0,2,1
2,0,2,2,3,0,0,152,2018,12,18,4,0,0.0,0.0,74.8,2,1
2,0,1,2,0,0,0,92,2018,3,7,4,0,0.0,0.0,80.3,1,1
2,0,0,1,0,0,3,37,2018,5,21,4,0,0.0,0.0,108.11,1,1
2,0,1,5,0,0,3,13,2018,4,5,4,0,0.0,0.0,130.33,0,1
3,0,0,3,0,0,3,39,2018,3,31,4,0,0.0,0.0,150.3,0,1
2,0,1,3,0,0,0,21,2017,10,26,3,0,0.0,0.0,94.0,0,1
2,0,2,4,0,0,0,11,2018,11,13,4,0,0.0,0.0,65.29,1,1
2,0,1,2,0,0,0,84,2017,10,16,4,0,0.0,0.0,89.25,2,1
2,0,0,2,3,0,0,181,2018,11,18,4,0,0.0,0.0,71.1,0,0
2,0,1,2,0,0,0,98,2018,9,16,3,0,0.0,0.0,80.75,0,1
2,0,0,3,3,0,0,41,2018,3,24,4,0,0.0,0.0,106.8,0,1
2,0,1,1,3,0,0,196,2018,8,6,4,0,0.0,0.0,85.5,0,0
1,0,2,6,0,0,0,11,2018,7,5,4,0,0.0,0.0,145.0,0,0
2,1,2,0,0,0,0,143,2018,6,26,4,0,0.0,0.0,118.65,1,0
2,0,2,5,0,0,0,157,2018,10,22,4,0,0.0,0.0,102.86,2,0
1,0,1,1,0,0,0,4,2017,10,19,2,0,0.0,0.0,95.0,0,1
2,0,2,6,0,0,3,196,2018,9,3,4,0,0.0,0.0,121.98,0,0
1,0,0,1,0,0,0,0,2017,9,17,1,1,0.0,1.0986122886681098,0.0,1,1
3,0,1,3,1,0,3,45,2018,6,27,4,0,0.0,0.0,157.68,2,1
2,0,1,3,0,0,0,122,2018,6,9,3,0,0.0,0.0,75.0,0,1
2,0,2,2,0,0,0,31,2018,4,17,4,0,0.0,0.0,96.75,2,1
1,0,0,2,1,0,0,346,2018,9,13,3,0,0.0,0.0,90.0,0,1
1,0,2,1,0,0,0,40,2018,3,13,2,1,0.0,0.6931471805599453,65.0,0,1
2,0,0,2,0,0,0,31,2018,6,8,4,0,0.0,0.0,110.7,1,0
1,0,1,2,0,0,0,34,2018,11,7,4,0,0.0,0.0,138.7,0,1
2,0,1,0,3,0,0,5,2018,5,16,4,0,0.0,0.0,68.53,1,1
2,0,1,2,0,0,0,22,2017,9,4,4,0,0.0,0.0,105.0,2,1
2,0,2,3,0,0,3,48,2018,8,26,4,0,0.0,0.0,133.74,1,0
2,0,0,1,0,0,0,43,2018,10,20,3,0,0.0,0.0,85.5,1,1
1,0,0,2,0,0,0,40,2017,11,4,4,0,0.0,0.0,100.8,3,1
2,0,2,1,3,0,0,156,2018,9,25,4,0,0.0,0.0,116.1,0,0
3,0,2,2,0,0,3,204,2017,10,18,4,0,0.0,0.0,137.0,0,0
1,0,0,1,0,0,0,0,2018,3,15,4,0,0.0,0.0,103.0,0,1
2,0,2,3,0,1,0,207,2017,8,21,4,0,0.0,0.0,76.5,2,1
2,0,1,2,0,0,0,7,2018,10,3,4,0,0.0,0.0,117.04,1,1
1,0,0,1,0,0,0,0,2018,6,22,0,0,0.0,0.0,95.0,0,1
2,0,2,0,0,1,0,11,2018,1,17,4,0,0.0,0.0,98.0,2,1
2,0,1,4,0,0,0,33,2018,3,16,3,0,0.0,0.0,63.58,0,1
2,0,1,2,0,0,0,160,2018,8,22,4,0,0.0,0.0,114.5,0,0
2,0,0,2,3,0,0,58,2017,10,30,4,0,0.0,0.0,66.53,1,1
2,0,0,1,0,0,0,164,2018,7,29,4,0,0.0,0.0,105.3,0,0
2,0,1,2,3,0,0,52,2018,7,18,4,0,0.0,0.0,94.5,0,0
1,0,2,2,0,0,3,49,2018,4,10,4,0,0.0,0.0,112.2,0,0
2,0,0,1,3,0,0,12,2018,6,30,4,0,0.0,0.0,101.68,1,1
2,0,0,3,3,0,0,134,2018,5,17,4,0,0.0,0.0,94.5,0,0
3,0,0,2,0,0,0,128,2018,7,8,4,0,0.0,0.0,146.7,2,1
2,0,0,2,0,0,0,80,2018,11,25,4,0,0.0,0.0,93.6,0,0
2,0,0,2,0,0,0,30,2018,6,2,3,0,0.0,0.0,85.5,0,1
2,0,0,4,0,0,0,254,2018,10,12,4,0,0.0,0.0,92.28,1,0
1,0,0,1,0,1,0,6,2018,1,26,4,0,0.0,0.0,95.0,1,1
3,0,2,3,0,0,0,37,2018,6,19,3,0,0.0,0.0,105.4,1,1
2,0,0,1,0,0,0,21,2017,10,7,3,0,0.0,0.0,85.0,1,1
2,0,2,2,0,0,0,69,2017,9,6,3,0,0.0,0.0,81.09,0,1
2,1,2,5,1,0,0,125,2018,7,18,3,0,0.0,0.0,84.58,1,1
3,0,2,4,0,0,0,22,2017,9,4,4,0,0.0,0.0,122.5,3,1
2,2,0,1,0,0,5,10,2017,9,3,4,0,0.0,0.0,155.0,1,1
2,1,2,1,0,0,0,57,2017,10,10,4,0,0.0,0.0,94.5,2,1
1,0,1,2,0,0,0,33,2018,11,7,4,0,0.0,0.0,197.0,2,1
2,0,1,1,0,0,0,90,2018,4,25,4,0,0.0,0.0,96.3,1,1
1,0,0,1,0,0,0,1,2017,11,5,2,1,0.0,1.0986122886681098,65.0,0,1
2,0,1,0,0,0,0,23,2018,9,5,4,0,0.0,0.0,93.94,1,1
2,0,2,3,3,0,0,55,2018,10,23,3,0,0.0,0.0,72.25,0,1
2,0,2,3,0,0,3,5,2018,2,28,4,0,0.0,0.0,120.6,1,1
2,0,0,2,3,0,0,37,2018,12,14,4,0,0.0,0.0,88.0,0,0
2,0,0,2,3,0,0,27,2018,4,12,4,0,0.0,0.0,99.0,1,0
1,0,0,1,0,0,0,1,2018,3,22,1,0,0.0,0.0,0.0,2,1
2,0,0,4,3,0,0,144,2018,7,6,4,0,0.0,0.0,97.75,0,0
2,1,1,4,0,0,0,81,2018,5,9,4,0,0.0,0.0,135.15,2,0
3,0,0,3,0,0,3,50,2018,6,29,4,0,0.0,0.0,150.3,0,0
2,1,1,3,0,0,3,44,2018,10,3,4,0,0.0,0.0,104.48,1,1
3,0,2,2,0,0,6,22,2018,4,16,4,0,0.0,0.0,190.58,0,0
1,0,0,1,0,0,0,4,2018,5,11,4,0,0.0,0.0,137.0,1,1
3,0,2,4,0,0,3,26,2018,6,17,4,0,0.0,0.0,161.6,0,0
2,0,2,1,0,0,0,115,2018,3,26,3,0,0.0,0.0,58.0,0,1
2,0,1,4,0,0,0,83,2018,3,28,3,0,0.0,0.0,80.75,0,1
2,0,2,5,0,0,0,84,2018,3,29,4,0,0.0,0.0,82.45,0,1
2,0,2,3,0,0,3,54,2018,4,10,4,0,0.0,0.0,112.2,0,0
2,0,1,4,0,0,3,91,2018,10,24,4,0,0.0,0.0,109.98,0,1
2,1,0,2,0,0,0,49,2018,12,1,4,0,0.0,0.0,98.82,1,1
2,0,0,3,0,0,0,8,2017,9,30,4,0,0.0,0.0,151.33,2,1
2,0,0,1,1,0,0,0,2018,7,13,4,0,0.0,0.0,210.0,0,0
1,0,1,0,3,0,0,0,2018,9,11,4,0,0.0,0.0,85.03,0,1
2,0,1,2,0,1,3,70,2018,9,16,4,0,0.0,0.0,158.4,1,1
2,0,1,0,3,0,0,60,2018,4,17,4,0,0.0,0.0,94.5,0,1
2,0,2,2,0,0,0,7,2018,12,2,4,0,0.0,0.0,89.89,0,1
3,1,0,2,0,0,3,49,2018,7,20,4,0,0.0,0.0,159.3,0,0
3,0,0,0,0,0,3,57,2018,4,1,4,0,0.0,0.0,0.0,2,1
2,0,0,2,3,0,0,21,2018,11,22,4,0,0.0,0.0,72.38,0,0
1,2,2,3,0,0,5,10,2018,5,13,4,0,0.0,0.0,215.0,0,0
2,0,2,1,0,0,0,82,2018,3,26,3,0,0.0,0.0,43.33,0,1
3,0,2,3,0,0,3,128,2018,9,24,4,0,0.0,0.0,162.0,2,1
1,0,2,1,0,0,0,32,2018,4,17,4,0,0.0,0.0,85.5,0,0
2,0,0,4,0,0,0,100,2018,3,16,4,0,0.0,0.0,53.24,0,1
2,1,0,2,3,0,0,210,2018,8,16,4,0,0.0,0.0,90.0,2,0
2,0,0,3,3,0,0,49,2018,9,6,4,0,0.0,0.0,89.91,0,0
2,0,1,0,0,0,0,0,2017,8,10,4,0,0.0,0.0,115.0,1,1
2,1,0,2,0,0,0,138,2018,7,14,4,0,0.0,0.0,121.5,1,1
2,0,2,2,3,0,0,161,2018,7,31,4,0,0.0,0.0,91.38,0,0
4,0,0,3,0,0,6,86,2018,10,20,4,0,0.0,0.0,192.86,1,1
2,0,0,2,3,0,0,45,2018,3,11,4,0,0.0,0.0,71.1,0,0
2,2,0,3,0,0,5,67,2018,12,27,4,0,0.0,0.0,168.9,0,0
2,2,0,1,0,1,5,5,2018,5,27,4,0,0.0,0.0,250.0,1,1
2,0,2,2,0,0,6,54,2018,10,28,4,0,0.0,0.0,191.2,1,1
1,0,1,1,0,0,0,40,2017,10,5,3,0,0.0,0.0,65.0,0,1
1,0,0,1,3,0,0,0,2018,6,18,4,0,0.0,0.0,129.0,2,1
2,0,2,5,0,0,0,89,2018,9,20,3,0,0.0,0.0,95.0,2,1
2,0,2,1,0,0,0,10,2017,8,29,4,0,0.0,0.0,90.0,1,1
3,0,2,2,0,0,3,68,2018,7,23,4,0,0.0,0.0,137.7,2,1
2,0,1,1,0,0,0,31,2018,7,9,4,0,0.0,0.0,135.9,1,1
1,0,0,1,0,0,3,30,2018,10,28,4,0,0.0,0.0,110.88,1,1
2,0,2,5,0,0,4,32,2018,9,13,4,0,0.0,0.0,137.52,0,0
2,0,1,3,0,0,0,25,2018,10,27,4,0,0.0,0.0,130.0,0,0
2,0,2,1,0,0,0,88,2018,12,18,3,0,0.0,0.0,75.0,0,1
2,0,2,3,3,0,0,87,2018,4,30,4,0,0.0,0.0,109.65,0,0
2,0,0,3,0,0,0,10,2018,2,25,4,0,0.0,0.0,93.0,0,0
2,0,0,2,0,1,0,21,2018,9,23,4,0,0.0,0.0,170.0,2,1
2,0,2,5,0,0,3,141,2018,7,5,3,0,0.0,0.0,82.45,0,1
2,2,0,1,0,0,5,4,2018,7,15,4,0,0.0,0.0,231.0,1,1
1,0,0,1,0,0,0,61,2017,9,15,4,0,0.0,0.0,80.75,0,1
2,0,2,1,0,0,0,116,2018,2,28,3,0,0.0,0.0,87.0,0,1
2,0,0,3,0,0,0,72,2018,11,24,3,0,0.0,0.0,75.0,0,1
2,0,1,0,3,0,0,137,2018,4,17,4,0,0.0,0.0,94.5,0,1
1,0,0,1,0,0,0,15,2018,11,8,4,0,0.0,0.0,142.64,1,1
2,0,0,4,0,0,3,292,2018,12,13,4,0,0.0,0.0,86.7,0,0
2,0,2,3,0,0,0,24,2018,10,16,3,0,0.0,0.0,85.0,0,1
2,0,1,2,0,0,0,57,2018,3,11,4,0,0.0,0.0,78.3,0,0
2,0,1,2,0,0,0,12,2018,11,25,4,0,0.0,0.0,108.67,0,0
2,0,1,1,0,0,0,130,2018,10,8,4,0,0.0,0.0,118.8,1,0
2,0,0,4,0,0,0,41,2018,12,7,4,0,0.0,0.0,88.4,2,1
2,0,0,3,0,0,3,45,2018,6,8,4,0,0.0,0.0,128.4,0,1
1,0,0,1,0,0,0,22,2018,7,20,3,0,0.0,0.0,126.0,0,1
2,0,0,3,3,0,0,158,2018,8,25,4,0,0.0,0.0,94.5,0,0
2,0,0,3,0,0,3,85,2018,4,7,4,0,0.0,0.0,99.3,0,0
2,0,0,4,0,0,0,275,2018,12,28,4,0,0.0,0.0,82.45,2,1
1,0,0,3,0,0,0,13,2018,4,19,0,0,0.0,0.0,95.0,0,1
3,0,0,2,0,0,3,1,2017,9,15,4,0,0.0,0.0,209.5,0,0
2,1,2,3,0,0,0,22,2018,12,1,4,0,0.0,0.0,133.5,0,1
1,0,0,1,1,0,0,55,2018,4,6,3,0,0.0,0.0,87.0,0,1
2,1,0,5,0,0,3,128,2018,10,11,4,0,0.0,0.0,135.0,0,0
2,0,2,1,3,0,0,35,2018,5,22,4,0,0.0,0.0,98.1,0,0
2,0,2,2,0,0,1,113,2018,4,24,4,0,0.0,0.0,85.85,0,1
2,0,2,2,3,0,0,10,2017,12,20,4,0,0.0,0.0,52.36,1,1
2,0,0,3,3,0,0,14,2018,12,22,4,0,0.0,0.0,84.67,0,1
2,0,0,1,0,1,0,15,2018,2,19,2,0,0.0,0.0,81.0,0,1
2,0,0,4,0,0,0,106,2018,4,27,4,0,0.0,0.0,95.2,0,1
2,0,0,2,3,0,0,4,2018,2,5,4,0,0.0,0.0,81.0,0,1
2,0,0,2,0,0,0,42,2018,3,11,4,0,0.0,0.0,81.9,0,1
2,0,1,2,0,0,0,29,2018,10,3,4,0,0.0,0.0,143.03,3,1
2,0,0,4,0,0,0,2,2018,3,9,4,0,0.0,0.0,105.0,1,1
1,0,0,1,0,0,0,9,2018,6,1,4,0,0.0,0.0,97.02,1,1
2,0,0,1,3,0,0,0,2018,6,7,4,0,0.0,0.0,109.0,0,1
1,0,0,4,3,0,0,170,2018,7,19,4,0,0.0,0.0,85.0,1,1
2,0,2,3,0,1,0,3,2018,1,2,4,0,0.0,0.0,102.0,1,1
1,0,2,4,0,0,0,21,2018,3,31,4,0,0.0,0.0,135.0,0,0
2,1,2,5,0,0,0,259,2018,12,28,4,0,0.0,0.0,80.26,3,1
2,0,0,1,3,1,0,0,2018,3,4,4,0,0.0,0.0,89.0,1,1
2,0,2,1,3,0,0,30,2018,11,26,4,0,0.0,0.0,88.0,0,0
2,0,2,5,0,0,0,41,2018,8,20,4,0,0.0,0.0,135.9,0,0
2,0,1,0,0,1,3,3,2018,6,20,1,0,0.0,0.0,0.0,3,1
1,0,1,1,0,0,0,10,2017,10,5,4,0,0.0,0.0,120.0,1,1
2,0,1,4,0,0,3,41,2018,3,28,4,0,0.0,0.0,114.04,0,1
2,1,1,0,0,0,0,2,2018,2,8,4,0,0.0,0.0,109.0,1,1
2,0,0,1,3,0,0,1,2018,2,9,4,0,0.0,0.0,81.0,1,0
2,2,2,3,0,0,5,59,2018,12,16,4,0,0.0,0.0,147.9,0,0
2,0,1,2,3,0,0,9,2018,6,17,4,0,0.0,0.0,129.0,1,0
2,2,2,2,0,0,5,125,2018,9,2,4,0,0.0,0.0,210.6,1,0
2,1,0,2,0,0,0,186,2018,8,3,4,0,0.0,0.0,121.5,0,0
2,0,0,1,0,0,0,2,2018,6,14,4,0,0.0,0.0,91.0,1,1
3,0,0,3,0,0,3,1,2018,6,15,4,0,0.0,0.0,177.0,4,1
1,2,1,4,0,0,5,88,2018,5,16,4,0,0.0,0.0,187.85,1,0
1,0,1,3,0,0,3,83,2018,10,6,4,0,0.0,0.0,132.3,0,0
2,0,1,3,0,0,3,69,2018,4,18,4,0,0.0,0.0,110.08,1,1
3,0,0,2,0,0,3,50,2018,3,30,4,0,0.0,0.0,123.3,2,1
2,0,2,1,3,0,0,108,2018,12,10,4,0,0.0,0.0,79.2,1,0
2,0,2,5,0,0,0,103,2018,3,21,4,0,0.0,0.0,83.66,1,0
2,0,1,4,0,1,0,161,2018,11,28,4,0,0.0,0.0,94.0,3,1
2,0,0,3,0,0,0,130,2018,5,5,4,0,0.0,0.0,105.3,1,0
2,0,0,4,0,0,0,83,2018,4,5,4,0,0.0,0.0,84.58,1,1
2,0,2,1,3,0,0,80,2018,11,20,4,0,0.0,0.0,79.2,1,0
2,0,1,3,0,0,0,23,2018,1,28,4,0,0.0,0.0,78.3,1,1
1,0,1,2,0,0,3,60,2018,5,27,4,0,0.0,0.0,140.4,0,0
2,0,0,1,0,0,3,0,2018,8,4,4,0,0.0,0.0,145.0,1,1
2,1,1,4,0,0,0,145,2018,8,29,4,0,0.0,0.0,128.34,0,1
2,0,1,0,0,0,0,2,2017,12,13,1,0,0.0,0.0,0.0,1,1
2,0,1,2,1,0,0,162,2017,9,4,3,0,0.0,0.0,85.17,2,1
2,0,2,4,0,0,0,175,2018,10,30,4,0,0.0,0.0,90.9,2,0
1,0,0,3,0,0,0,80,2018,12,7,4,0,0.0,0.0,86.4,2,1
1,0,1,0,0,0,0,26,2018,8,8,2,0,0.0,0.0,65.0,0,1
2,0,2,3,0,0,0,152,2018,6,19,4,0,0.0,0.0,108.12,0,0
3,0,1,4,3,0,0,100,2018,7,6,4,0,0.0,0.0,98.83,2,1
2,0,0,4,0,0,0,43,2018,8,31,3,0,0.0,0.0,85.5,0,1
2,0,2,1,0,0,0,59,2018,10,9,3,0,0.0,0.0,80.75,0,1
2,0,1,3,0,0,0,110,2018,5,2,4,0,0.0,0.0,101.58,2,1
2,0,2,1,0,0,3,1,2018,2,27,4,0,0.0,0.0,108.0,1,1
1,0,0,1,3,0,0,8,2018,4,5,4,0,0.0,0.0,89.0,1,1
2,0,2,1,0,0,3,40,2017,10,31,3,0,0.0,0.0,65.0,0,1
0,2,0,3,0,0,1,56,2018,12,7,4,0,0.0,0.0,82.44,1,1
2,0,1,3,0,0,0,65,2018,10,17,4,0,0.0,0.0,118.8,2,1
2,0,0,3,3,0,0,77,2018,6,1,4,0,0.0,0.0,116.1,0,0
2,2,0,2,0,0,5,188,2018,7,7,4,0,0.0,0.0,168.3,0,0
2,0,0,4,0,0,0,63,2018,4,26,3,0,0.0,0.0,80.75,0,1
1,0,0,1,0,0,0,0,2017,10,30,3,0,0.0,0.0,85.0,0,1
2,0,2,2,1,0,3,22,2018,5,21,4,0,0.0,0.0,194.0,1,1
2,0,0,1,3,0,0,36,2018,9,9,4,0,0.0,0.0,112.59,1,1
2,0,1,5,0,0,0,156,2018,8,29,4,0,0.0,0.0,111.6,0,0
3,0,1,2,0,0,0,128,2018,7,11,4,0,0.0,0.0,116.32,2,1
1,0,0,1,3,0,0,2,2018,4,5,4,0,0.0,0.0,89.0,2,1
2,0,2,1,3,0,0,95,2018,4,3,4,0,0.0,0.0,76.5,0,1
1,0,0,1,0,0,3,10,2018,9,30,4,0,0.0,0.0,195.0,2,1
3,0,1,2,0,0,3,25,2018,8,15,4,0,0.0,0.0,187.0,1,0
3,0,1,2,1,0,3,91,2018,7,18,4,0,0.0,0.0,195.0,2,1
2,1,0,3,0,0,0,178,2018,8,10,4,0,0.0,0.0,127.5,2,0
2,0,1,3,0,0,0,28,2017,9,7,4,0,0.0,0.0,125.4,1,1
2,0,1,0,0,0,0,86,2018,11,13,4,0,0.0,0.0,93.6,0,0
2,2,1,3,0,0,5,42,2018,4,25,4,0,0.0,0.0,175.28,0,0
2,0,1,3,0,0,3,39,2018,12,29,4,0,0.0,0.0,201.08,0,1
1,0,2,4,0,0,3,16,2018,4,30,4,0,0.0,0.0,154.33,0,0
1,0,2,2,0,0,0,91,2017,10,2,4,0,0.0,0.0,70.14,0,1
2,0,0,2,0,1,0,76,2017,10,13,4,0,0.0,0.0,98.25,1,1
2,0,0,4,0,0,0,57,2018,4,26,3,0,0.0,0.0,85.5,1,1
2,0,0,2,0,0,0,125,2017,12,11,4,0,0.0,0.0,72.25,1,0
2,2,2,1,1,0,5,57,2018,4,24,4,0,0.0,0.0,228.6,0,0
2,0,1,0,0,0,1,198,2018,7,17,4,0,0.0,0.0,86.75,0,0
2,0,0,2,3,0,0,81,2018,12,2,4,0,0.0,0.0,59.84,0,1
3,0,1,0,0,0,3,0,2018,12,11,4,0,0.0,0.0,138.0,0,1
3,0,1,0,0,0,3,63,2018,7,17,4,0,0.0,0.0,137.7,0,1
2,0,2,5,0,0,3,195,2018,7,25,4,0,0.0,0.0,99.45,1,1
1,0,0,1,0,0,0,7,2018,3,15,2,0,0.0,0.0,79.0,0,1
2,0,0,0,0,0,0,0,2017,11,14,4,0,0.0,0.0,0.0,2,1
2,0,1,0,0,0,0,1,2018,4,18,4,0,0.0,0.0,111.0,0,1
1,0,0,2,0,0,0,6,2018,3,2,2,0,0.0,0.0,79.5,1,1
2,0,0,2,0,0,0,7,2018,11,10,1,0,0.0,0.0,0.0,0,1
2,0,2,3,0,0,0,27,2018,3,6,3,0,0.0,0.0,87.0,0,1
1,0,0,2,0,0,0,11,2017,8,18,2,0,0.0,0.0,67.0,0,0
1,0,0,1,0,0,0,18,2017,12,18,2,1,0.0,2.0794415416798357,74.0,0,1
1,0,0,2,0,0,0,23,2017,10,8,4,0,0.0,0.0,101.0,2,1
2,0,0,1,0,0,0,207,2018,10,4,4,0,0.0,0.0,108.9,2,0
1,0,0,3,3,0,0,16,2018,12,29,4,0,0.0,0.0,120.0,1,1
2,0,1,4,0,0,0,51,2017,7,8,3,0,0.0,0.0,67.5,0,1
2,0,1,0,3,0,0,0,2018,12,5,4,0,0.0,0.0,88.0,0,1
3,0,1,1,0,0,3,96,2018,6,13,4,0,0.0,0.0,159.3,2,1
1,0,1,1,0,0,3,70,2018,11,21,4,0,0.0,0.0,114.0,1,0
3,0,3,5,0,1,0,122,2018,8,21,3,0,0.0,0.0,105.9,0,1
2,0,0,3,0,0,0,1,2017,8,11,4,0,0.0,0.0,105.0,3,1
1,1,1,5,0,0,0,219,2018,10,24,4,0,0.0,0.0,106.25,0,0
2,0,2,3,0,0,0,44,2018,1,29,4,0,0.0,0.0,74.82,1,1
2,0,1,2,0,0,0,49,2018,3,4,4,0,0.0,0.0,80.3,1,1
3,0,2,2,3,0,0,135,2018,7,15,4,0,0.0,0.0,92.28,2,1
2,0,0,1,0,0,0,40,2018,6,21,4,0,0.0,0.0,76.92,0,0
2,0,0,2,0,1,0,254,2017,10,13,4,0,0.0,0.0,98.25,1,0
2,0,0,1,3,0,0,30,2018,5,25,4,0,0.0,0.0,98.1,0,0
2,0,0,1,3,0,0,32,2018,8,20,4,0,0.0,0.0,96.33,1,1
2,0,0,2,3,0,0,109,2018,7,7,4,0,0.0,0.0,103.5,1,1
1,0,0,1,0,0,0,75,2017,12,9,2,0,0.0,0.0,65.0,0,1
3,0,0,4,0,0,3,8,2018,2,9,4,0,0.0,0.0,130.0,1,1
3,0,2,3,0,0,3,39,2018,4,24,4,0,0.0,0.0,138.06,1,0
2,0,0,4,3,0,0,66,2018,8,31,4,0,0.0,0.0,120.6,0,1
1,0,0,3,0,0,3,21,2018,5,3,4,0,0.0,0.0,156.0,0,0
1,0,0,1,0,0,0,16,2018,4,20,2,1,0.0,1.0986122886681098,95.0,0,1
2,0,0,3,0,0,0,41,2018,3,16,3,0,0.0,0.0,85.0,0,1
2,1,1,2,0,0,0,149,2018,8,12,4,0,0.0,0.0,130.5,0,0
3,0,2,2,0,0,0,65,2018,6,26,4,0,0.0,0.0,137.7,0,0
1,0,1,0,0,0,0,19,2018,9,12,4,0,0.0,0.0,99.0,2,1
2,1,0,1,0,0,0,9,2018,7,23,4,0,0.0,0.0,169.0,0,0
2,0,2,4,0,0,0,132,2018,7,21,4,0,0.0,0.0,102.28,0,0
2,0,4,10,0,0,0,171,2018,7,20,4,0,0.0,0.0,104.39,1,0
1,0,1,2,0,0,0,19,2018,9,23,4,0,0.0,0.0,139.0,1,1
1,0,0,1,0,0,0,5,2018,3,2,4,0,0.0,0.0,92.0,0,1
2,0,2,1,0,0,0,10,2017,12,5,4,0,0.0,0.0,112.1,0,1
1,0,0,2,0,0,0,88,2018,10,7,2,0,0.0,0.0,71.0,1,1
2,0,2,2,3,0,0,139,2018,6,19,3,0,0.0,0.0,72.25,0,1
2,0,1,1,0,0,0,52,2018,11,5,4,0,0.0,0.0,77.76,0,1
2,0,0,1,0,0,3,92,2018,5,19,4,0,0.0,0.0,149.4,1,1
2,0,0,2,0,0,0,4,2018,12,16,1,0,0.0,0.0,0.0,1,1
2,0,2,4,0,0,3,72,2018,10,20,4,0,0.0,0.0,127.65,2,1
2,0,0,3,1,0,0,119,2018,7,13,3,0,0.0,0.0,97.75,1,1
2,0,2,1,3,0,0,0,2018,10,15,4,0,0.0,0.0,111.67,0,1
2,0,0,5,3,0,0,163,2018,8,23,4,0,0.0,0.0,84.15,0,0
1,0,2,7,0,0,0,71,2018,6,10,4,0,0.0,0.0,133.5,0,0
2,0,1,1,0,0,0,159,2018,4,9,3,0,0.0,0.0,70.0,0,1
2,0,1,1,0,0,0,101,2018,7,25,4,0,0.0,0.0,105.3,1,0
2,0,0,2,0,0,3,116,2018,4,15,4,0,0.0,0.0,105.3,0,0
2,0,2,2,0,0,0,67,2018,4,24,4,0,0.0,0.0,99.45,1,1
2,0,1,2,0,0,3,36,2018,3,25,4,0,0.0,0.0,137.4,1,0
1,0,2,8,0,0,0,13,2018,1,20,4,0,0.0,0.0,81.7,0,1
2,0,2,3,0,0,4,30,2018,9,18,2,0,0.0,0.0,170.63,1,0
2,0,2,2,0,0,0,44,2018,6,19,4,0,0.0,0.0,108.45,0,0
2,1,0,1,0,0,5,0,2018,12,10,1,0,0.0,0.0,0.0,1,1
1,0,0,2,0,0,0,0,2017,9,23,4,0,0.0,0.0,158.0,2,1
1,0,0,1,0,0,0,1,2018,3,9,4,0,0.0,0.0,95.0,0,1
1,0,1,3,0,0,0,18,2017,9,7,4,0,0.0,0.0,123.5,0,1
2,0,1,2,0,0,3,10,2018,5,6,4,0,0.0,0.0,146.0,2,1
2,0,1,2,0,0,0,39,2017,11,13,4,0,0.0,0.0,96.3,2,1
2,0,0,1,0,0,3,162,2018,7,27,4,0,0.0,0.0,118.8,1,0
2,0,1,3,0,0,0,48,2018,3,7,4,0,0.0,0.0,73.95,1,0
2,0,0,5,3,0,0,4,2018,3,15,3,0,0.0,0.0,59.5,0,1
2,0,1,1,0,0,1,268,2018,8,6,4,0,0.0,0.0,96.25,1,1
3,0,1,1,1,0,3,71,2018,10,22,3,0,0.0,0.0,183.5,0,1
2,0,2,1,0,0,0,12,2018,4,17,4,0,0.0,0.0,101.0,2,1
